epoch,train_loss,val_loss
0,0.07298157,0.045908224
1,0.07040457,0.054534897
2,0.055746738,0.06267937
3,0.046601098,0.045979027
4,0.04198741,0.04358163
5,0.03907033,0.04002087
6,0.03992577,0.04101546
7,0.04007201,0.043046318
8,0.040200572,0.043307744
9,0.039968714,0.041403662
10,0.039595842,0.04186166
11,0.039237868,0.039785948
12,0.03879074,0.039077815
13,0.039437424,0.0402822
14,0.039058376,0.03914233
15,0.03911078,0.039525457
16,0.038750995,0.04130987
17,0.037854407,0.03886362
18,0.03848243,0.039584436
19,0.038560443,0.04055552
20,0.03840699,0.039239272
21,0.038275175,0.03929352
22,0.03779554,0.038217086
23,0.038210396,0.036854737
24,0.037670057,0.03815543
25,0.03892629,0.039130762
26,0.038582895,0.038752384
27,0.038418397,0.03809535
28,0.03807391,0.03746554
29,0.03833512,0.037933122
30,0.037945475,0.03816716
31,0.037575956,0.036439158
32,0.037737504,0.035977907
33,0.03778217,0.0370149
34,0.03728312,0.03646102
35,0.03729425,0.03632136
36,0.037243772,0.03641833
37,0.0379193,0.038705163
38,0.037753526,0.036946256
39,0.03797686,0.035547953
40,0.037778545,0.034866095
41,0.03769738,0.035486355
42,0.038014725,0.035975646
43,0.037634302,0.036255576
44,0.03751199,0.036438122
45,0.037438374,0.036425143
46,0.0375698,0.036148496
47,0.037505448,0.03626386
48,0.037424397,0.036417276
49,0.037328508,0.035461623
50,0.03787646,0.035503227
51,0.03774202,0.035097975
52,0.037495885,0.03489593
53,0.037934527,0.034971915
54,0.03759597,0.034969
55,0.037600543,0.03496842
56,0.037589397,0.0351762
57,0.037424374,0.03504774
58,0.037342686,0.03487262
59,0.037413288,0.03488505
60,0.03831102,0.036106702
61,0.03731095,0.034981735
62,0.037254263,0.034687735
63,0.037165187,0.034675628
64,0.03706672,0.034421638
65,0.037290294,0.03458612
66,0.037171286,0.034754712
67,0.037276067,0.034424525
68,0.03783452,0.035380892
69,0.037513804,0.03528278
70,0.03736515,0.035237372
71,0.037374076,0.035320085
72,0.03733713,0.035268307
73,0.037335332,0.035317495
74,0.03733491,0.035383195
75,0.037297,0.03525179
76,0.03729551,0.035323177
77,0.037303347,0.035230454
78,0.037210878,0.03527594
79,0.03710861,0.03516671
80,0.037202675,0.035014465
81,0.037076715,0.034781013
82,0.03720752,0.035398606
83,0.03713675,0.03538034
84,0.03720996,0.034803566
85,0.036987267,0.035110887
86,0.03694924,0.03492474
87,0.037098255,0.034920756
88,0.036872346,0.034806207
89,0.037426095,0.03494817
90,0.037396565,0.035776712
91,0.03773568,0.036975693
92,0.03803055,0.0375611
93,0.038376935,0.036605872
94,0.03859861,0.036632497
95,0.039232608,0.037742335
96,0.037945587,0.035588086
97,0.036297128,0.033500206
98,0.036295835,0.034361657
99,0.03609325,0.037875813
100,0.03649907,0.03905637
101,0.036147375,0.03491007
102,0.03633472,0.036243793
103,0.0358775,0.03515073
104,0.03585408,0.035663206
105,0.035717957,0.034672197
106,0.0359062,0.035824638
107,0.03500914,0.037100602
108,0.03456653,0.0362208
109,0.0343102,0.036067896
110,0.03448796,0.036359187
111,0.034587983,0.034905136
112,0.033849604,0.034586407
113,0.03416609,0.034959257
114,0.034158695,0.034741152
115,0.03442312,0.03738139
116,0.034402788,0.035009015
117,0.034160305,0.035402734
118,0.034259345,0.03523948
119,0.03479653,0.035007246
120,0.035311457,0.035524894
121,0.036327533,0.03545099
122,0.035682876,0.03447581
123,0.035845384,0.033910617
124,0.035917465,0.037271906
125,0.036750477,0.03346806
126,0.037923824,0.03401227
127,0.039071914,0.033777613
128,0.038996015,0.033950537
129,0.038880173,0.03305225
130,0.038522225,0.03371693
131,0.038454782,0.033319283
132,0.03833383,0.033544146
133,0.0381659,0.033506244
134,0.03812829,0.033523493
135,0.038030513,0.033568293
136,0.03795435,0.033625294
137,0.037906297,0.033607252
138,0.03785287,0.033664327
139,0.037816748,0.03358566
140,0.037725743,0.033635244
141,0.037700064,0.033694033
142,0.037663154,0.033730127
143,0.037623484,0.03372913
144,0.037591208,0.033740588
145,0.037564237,0.033681788
146,0.037534848,0.033737175
147,0.03751475,0.033780124
148,0.037497513,0.033716522
149,0.037464254,0.033800453
150,0.037432138,0.033763062
151,0.03743838,0.03378523
152,0.037426822,0.03381723
153,0.0374092,0.03377284
154,0.037368264,0.033851128
155,0.037384514,0.03387474
156,0.03740103,0.034514625
157,0.037312206,0.033921346
158,0.03734465,0.03424048
159,0.037347768,0.034090914
160,0.037362706,0.03381174
161,0.037270002,0.03375576
162,0.037347224,0.033694506
