epoch,train_loss,val_loss
0,"tf.Tensor(0.09825898, shape=(), dtype=float32)","tf.Tensor(0.18026096, shape=(), dtype=float32)"
1,"tf.Tensor(0.087167226, shape=(), dtype=float32)","tf.Tensor(0.15866125, shape=(), dtype=float32)"
2,"tf.Tensor(0.07798814, shape=(), dtype=float32)","tf.Tensor(0.13812517, shape=(), dtype=float32)"
3,"tf.Tensor(0.06941049, shape=(), dtype=float32)","tf.Tensor(0.1193898, shape=(), dtype=float32)"
4,"tf.Tensor(0.061557494, shape=(), dtype=float32)","tf.Tensor(0.102261536, shape=(), dtype=float32)"
5,"tf.Tensor(0.05450495, shape=(), dtype=float32)","tf.Tensor(0.08993373, shape=(), dtype=float32)"
6,"tf.Tensor(0.048645504, shape=(), dtype=float32)","tf.Tensor(0.078907646, shape=(), dtype=float32)"
7,"tf.Tensor(0.043996025, shape=(), dtype=float32)","tf.Tensor(0.07199031, shape=(), dtype=float32)"
8,"tf.Tensor(0.040464208, shape=(), dtype=float32)","tf.Tensor(0.06701969, shape=(), dtype=float32)"
9,"tf.Tensor(0.037684973, shape=(), dtype=float32)","tf.Tensor(0.06325843, shape=(), dtype=float32)"
10,"tf.Tensor(0.035423916, shape=(), dtype=float32)","tf.Tensor(0.059706874, shape=(), dtype=float32)"
11,"tf.Tensor(0.033513233, shape=(), dtype=float32)","tf.Tensor(0.056909967, shape=(), dtype=float32)"
12,"tf.Tensor(0.031827755, shape=(), dtype=float32)","tf.Tensor(0.054065537, shape=(), dtype=float32)"
13,"tf.Tensor(0.030235376, shape=(), dtype=float32)","tf.Tensor(0.051886544, shape=(), dtype=float32)"
14,"tf.Tensor(0.028707078, shape=(), dtype=float32)","tf.Tensor(0.049947325, shape=(), dtype=float32)"
15,"tf.Tensor(0.027219633, shape=(), dtype=float32)","tf.Tensor(0.048367515, shape=(), dtype=float32)"
16,"tf.Tensor(0.025800467, shape=(), dtype=float32)","tf.Tensor(0.046976842, shape=(), dtype=float32)"
17,"tf.Tensor(0.02447557, shape=(), dtype=float32)","tf.Tensor(0.04568472, shape=(), dtype=float32)"
18,"tf.Tensor(0.02327453, shape=(), dtype=float32)","tf.Tensor(0.044512298, shape=(), dtype=float32)"
19,"tf.Tensor(0.02219331, shape=(), dtype=float32)","tf.Tensor(0.04339737, shape=(), dtype=float32)"
20,"tf.Tensor(0.021222489, shape=(), dtype=float32)","tf.Tensor(0.042364296, shape=(), dtype=float32)"
21,"tf.Tensor(0.02034633, shape=(), dtype=float32)","tf.Tensor(0.041406065, shape=(), dtype=float32)"
22,"tf.Tensor(0.019558497, shape=(), dtype=float32)","tf.Tensor(0.04051788, shape=(), dtype=float32)"
23,"tf.Tensor(0.018851914, shape=(), dtype=float32)","tf.Tensor(0.039683685, shape=(), dtype=float32)"
24,"tf.Tensor(0.018222125, shape=(), dtype=float32)","tf.Tensor(0.03893607, shape=(), dtype=float32)"
25,"tf.Tensor(0.017662933, shape=(), dtype=float32)","tf.Tensor(0.038215637, shape=(), dtype=float32)"
26,"tf.Tensor(0.017168624, shape=(), dtype=float32)","tf.Tensor(0.037579846, shape=(), dtype=float32)"
27,"tf.Tensor(0.016732177, shape=(), dtype=float32)","tf.Tensor(0.036958862, shape=(), dtype=float32)"
28,"tf.Tensor(0.016348597, shape=(), dtype=float32)","tf.Tensor(0.03642311, shape=(), dtype=float32)"
29,"tf.Tensor(0.016010981, shape=(), dtype=float32)","tf.Tensor(0.035888057, shape=(), dtype=float32)"
30,"tf.Tensor(0.01571382, shape=(), dtype=float32)","tf.Tensor(0.03546085, shape=(), dtype=float32)"
31,"tf.Tensor(0.015450158, shape=(), dtype=float32)","tf.Tensor(0.035032164, shape=(), dtype=float32)"
32,"tf.Tensor(0.015215891, shape=(), dtype=float32)","tf.Tensor(0.034815114, shape=(), dtype=float32)"
33,"tf.Tensor(0.01500474, shape=(), dtype=float32)","tf.Tensor(0.034698833, shape=(), dtype=float32)"
34,"tf.Tensor(0.014815827, shape=(), dtype=float32)","tf.Tensor(0.03508512, shape=(), dtype=float32)"
35,"tf.Tensor(0.014642308, shape=(), dtype=float32)","tf.Tensor(0.03518691, shape=(), dtype=float32)"
36,"tf.Tensor(0.014490158, shape=(), dtype=float32)","tf.Tensor(0.03470561, shape=(), dtype=float32)"
37,"tf.Tensor(0.014338624, shape=(), dtype=float32)","tf.Tensor(0.033097453, shape=(), dtype=float32)"
38,"tf.Tensor(0.014212649, shape=(), dtype=float32)","tf.Tensor(0.032415777, shape=(), dtype=float32)"
39,"tf.Tensor(0.014079438, shape=(), dtype=float32)","tf.Tensor(0.032168664, shape=(), dtype=float32)"
40,"tf.Tensor(0.013963034, shape=(), dtype=float32)","tf.Tensor(0.03186973, shape=(), dtype=float32)"
41,"tf.Tensor(0.01385231, shape=(), dtype=float32)","tf.Tensor(0.031613495, shape=(), dtype=float32)"
42,"tf.Tensor(0.013747745, shape=(), dtype=float32)","tf.Tensor(0.031373136, shape=(), dtype=float32)"
43,"tf.Tensor(0.013649902, shape=(), dtype=float32)","tf.Tensor(0.031140635, shape=(), dtype=float32)"
44,"tf.Tensor(0.013557152, shape=(), dtype=float32)","tf.Tensor(0.030919885, shape=(), dtype=float32)"
45,"tf.Tensor(0.0134694865, shape=(), dtype=float32)","tf.Tensor(0.03070698, shape=(), dtype=float32)"
46,"tf.Tensor(0.013386413, shape=(), dtype=float32)","tf.Tensor(0.030501287, shape=(), dtype=float32)"
47,"tf.Tensor(0.013307532, shape=(), dtype=float32)","tf.Tensor(0.030302519, shape=(), dtype=float32)"
48,"tf.Tensor(0.013232571, shape=(), dtype=float32)","tf.Tensor(0.030109229, shape=(), dtype=float32)"
49,"tf.Tensor(0.013161189, shape=(), dtype=float32)","tf.Tensor(0.029920902, shape=(), dtype=float32)"
50,"tf.Tensor(0.013093235, shape=(), dtype=float32)","tf.Tensor(0.029737081, shape=(), dtype=float32)"
51,"tf.Tensor(0.013028426, shape=(), dtype=float32)","tf.Tensor(0.029558487, shape=(), dtype=float32)"
52,"tf.Tensor(0.012966638, shape=(), dtype=float32)","tf.Tensor(0.02938565, shape=(), dtype=float32)"
53,"tf.Tensor(0.012907654, shape=(), dtype=float32)","tf.Tensor(0.029217845, shape=(), dtype=float32)"
54,"tf.Tensor(0.012851353, shape=(), dtype=float32)","tf.Tensor(0.029055938, shape=(), dtype=float32)"
